academic_year,division,org_id,schedule_difficulty_score,schedule_difficulty_rank,wins,losses,ties,games_played,wp,opp_wp,opp_opp_wp,rpi,team_name,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage,sos_avg_opp_win_pct,sos_avg_opp_offense,sos_avg_opp_defense,sos_std_opp_win_pct,sos_stats_rank
2014,1,103507,0.36059723243991854,65,12,16,0,28,0.4285714285714285,0.3643078385200234,0.4606772336099616,0.4044660848053592,Detroit Mercy,MAAC,6-8,6.5,7.79,0.794,0.407,27.21,0.673,0.708,,15.64,16.07,9.64,-0.5,9.14,0.274,17.71,0.429,0.36161538461538467,13.37923076923077,11.092307692307692,0.17359791671097477,65
2014,1,103508,0.5595428853863725,10,26,10,0,36,0.7222222222222222,0.565309775507144,0.5238531471460367,0.5941737300956367,Drexel,CAA,13-5,6.44,6.28,0.891,0.606,31.78,0.578,0.38,,18.06,11.28,10.33,1.28,11.61,0.286,14.72,0.722,0.5596874999999999,16.0625,9.829375,0.18622490393003294,11
2014,1,103509,0.5646094496985398,9,34,6,0,40,0.85,0.5882434664149061,0.5492110728653745,0.6439245014237966,Duke,ACC,17-3,9.0,6.35,0.894,0.577,35.05,0.663,0.373,,23.85,9.6,9.65,5.2,14.85,0.358,13.8,0.85,0.5629411764705883,17.50176470588235,10.170588235294119,0.22570034027137822,9
2014,1,103510,0.4535502512738834,50,24,8,0,32,0.75,0.4567236990950226,0.5067037887809133,0.5425377967427396,Fairfield,ECAC,12-4,5.69,6.88,0.881,0.476,28.69,0.707,0.356,,17.0,9.94,8.44,2.88,11.31,0.369,12.44,0.75,0.4535714285714286,15.016428571428571,10.139285714285714,0.14475186368684972,50
2014,1,103511,0.5064227373065731,28,2,24,0,26,0.0769230769230769,0.5058725462571616,0.4695678954409157,0.3895590162195789,Furman,ASUN,1-12,3.77,4.23,0.822,0.533,24.31,0.692,0.226,,11.08,11.54,13.85,-6.54,7.31,0.22,17.85,0.077,0.506,15.755384615384616,9.906923076923077,0.19977063771312262,28
2014,1,103512,0.478124070406951,41,8,20,0,28,0.2857142857142857,0.4783966488079713,0.5102529047481578,0.4381901220195965,Georgetown,Big East,4-10,5.07,5.86,0.829,0.653,33.07,0.633,0.368,,13.71,10.57,10.79,-2.14,8.64,0.245,15.93,0.286,0.4784285714285715,15.310000000000002,10.139999999999999,0.24655735765181472,41
2014,1,103513,0.45505569069669444,49,12,18,0,30,0.4,0.4551098901098901,0.4736516114833948,0.4459678479257938,Hartford,America East,6-9,5.13,7.93,0.877,0.541,33.8,0.629,0.286,,15.13,10.27,10.4,-0.4,10.0,0.246,14.87,0.4,0.45513333333333333,16.172666666666668,11.074000000000002,0.161428566933558,49
2014,1,103514,0.5194278609136118,25,20,14,0,34,0.5882352941176471,0.5389436543848308,0.5448284675556698,0.5527377676107446,Harvard,Ivy League,10-7,6.82,7.53,0.885,0.49,29.65,0.602,0.389,,17.53,10.24,9.76,0.94,10.71,0.292,15.24,0.588,0.5191333333333332,17.276,10.483333333333333,0.21569449588609246,25
2014,1,103560,0.45023466226437636,51,18,14,0,32,0.5625,0.4352043381455146,0.4715575204380059,0.4761165491822587,High Point,ASUN,9-7,5.69,8.06,0.843,0.581,31.25,0.774,0.241,,15.31,14.0,9.44,0.19,9.63,0.278,16.31,0.563,0.4502142857142856,14.938571428571427,10.698571428571428,0.1926307268811897,51
2014,1,103515,0.5042812408410572,29,10,20,0,30,0.3333333333333333,0.5368857286504344,0.4722791891502266,0.4698459949461072,Hobart,NEC,5-10,4.0,6.4,0.823,0.405,24.87,0.633,0.333,,12.67,11.27,10.4,-1.73,8.67,0.273,13.6,0.333,0.5046153846153846,15.09153846153846,10.336923076923076,0.20889361976541604,29
2014,1,103516,0.5272554767244328,20,22,10,0,32,0.6875,0.533875433186095,0.5255281077175271,0.5701947435224293,Hofstra,CAA,11-5,4.81,6.0,0.868,0.551,28.69,0.571,0.377,,14.38,8.44,8.44,1.13,9.56,0.279,12.06,0.688,0.5272857142857144,16.035,10.066428571428572,0.1320283673909451,20
2014,1,103517,0.4680277562767098,43,6,24,0,30,0.2,0.4677906461729991,0.4751924734735612,0.4026934414548899,Holy Cross,Patriot,3-12,5.07,5.4,0.832,0.514,27.2,0.585,0.308,,14.13,10.73,13.47,-4.4,9.07,0.252,15.13,0.2,0.4678666666666667,14.892666666666665,9.812666666666669,0.2192304317886142,43
2014,1,103518,0.46233725805555054,46,8,18,0,26,0.3076923076923077,0.4696534234995773,0.4866107557732612,0.4334024776161809,Jacksonville,ASUN,4-9,5.15,6.15,0.89,0.374,26.46,0.544,0.333,,14.69,12.62,11.77,-2.23,9.54,0.309,16.46,0.308,0.46199999999999997,15.180833333333338,10.495833333333334,0.21107463135109344,46
