academic_year,division,team_name,org_id,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage
2014,1,Penn St.,539,,7-6,5.0,7.62,0.884,0.6,30.15,0.667,0.35,,15.31,10.62,8.92,1.38,10.31,0.289,14.0,0.538
2014,1,Penn,540,,11-4,5.87,6.87,0.873,0.484,30.67,0.74,0.349,,16.47,11.0,9.27,1.33,10.6,0.291,17.73,0.733
2014,1,Princeton,554,,7-6,7.46,6.31,0.886,0.46,28.62,0.791,0.512,,19.46,11.0,10.92,1.08,12.0,0.301,12.08,0.538
2014,1,Providence,556,,4-11,4.0,7.93,0.844,0.391,27.93,0.648,0.396,,12.53,10.93,10.73,-2.2,8.53,0.246,15.67,0.267
2014,1,Quinnipiac,562,,6-8,6.93,6.57,0.864,0.501,30.71,0.542,0.365,,17.5,13.86,11.07,-0.5,10.57,0.295,16.21,0.429
2014,1,Richmond,575,,6-11,5.0,8.76,0.878,0.362,29.29,0.639,0.288,,14.0,10.35,10.47,-1.47,9.0,0.272,17.18,0.353
2014,1,Robert Morris,579,,5-9,4.71,10.14,0.835,0.387,29.07,0.7,0.364,,13.86,10.79,11.57,-2.43,9.14,0.251,14.86,0.357
2014,1,Rutgers,587,,8-8,7.44,6.06,0.878,0.577,32.56,0.638,0.261,,19.56,11.5,11.19,0.94,12.13,0.314,15.0,0.5
2014,1,Sacred Heart,590,,6-9,6.27,7.27,0.893,0.412,26.4,0.667,0.294,,16.4,12.27,11.67,-1.53,10.13,0.277,15.27,0.4
2014,1,Saint Joseph's,606,,11-4,5.0,8.87,0.869,0.499,28.47,0.793,0.241,,16.13,10.07,8.2,2.93,11.13,0.295,14.2,0.733
2014,1,Binghamton,62,,7-8,6.07,6.87,0.904,0.463,26.0,0.551,0.417,,15.6,10.07,10.6,-1.07,9.53,0.285,12.07,0.467
2014,1,Siena,639,,11-6,6.0,5.65,0.884,0.58,31.47,0.447,0.411,,16.18,11.12,9.82,0.35,10.18,0.253,14.71,0.647
2014,1,Boston U.,68,,2-12,4.57,7.5,0.769,0.548,26.21,0.615,0.407,,11.79,12.36,11.0,-3.79,7.21,0.219,18.93,0.143
2014,1,Stony Brook,683,,6-10,7.31,3.63,0.839,0.61,33.06,0.689,0.491,,18.94,10.44,12.19,-0.56,11.63,0.373,14.63,0.375
2014,1,Syracuse,688,,11-5,8.0,6.81,0.863,0.467,29.44,0.613,0.431,,21.0,11.44,11.69,1.31,13.0,0.353,12.13,0.688
2014,1,Towson,711,,8-7,4.53,5.8,0.883,0.402,24.47,0.736,0.308,,13.0,9.6,9.73,-1.27,8.47,0.257,12.0,0.533
2014,1,Air Force,721,,11-6,6.41,6.24,0.848,0.494,29.12,0.65,0.4,,18.12,9.06,9.41,2.29,11.71,0.285,11.94,0.647
2014,1,Army West Point,725,,9-5,5.57,7.0,0.839,0.535,27.14,0.651,0.317,,15.71,8.5,7.21,2.93,10.14,0.272,12.93,0.643
2014,1,Navy,726,,4-10,4.5,7.71,0.839,0.559,29.29,0.667,0.179,,13.43,10.64,9.36,-0.43,8.93,0.243,14.5,0.286
2014,1,Vermont,738,,5-8,5.85,10.15,0.825,0.427,32.46,0.746,0.35,,15.92,11.38,11.0,-0.92,10.08,0.254,18.08,0.385
2014,1,Villanova,739,,6-10,5.25,9.75,0.815,0.493,30.5,0.719,0.343,,14.69,10.13,10.25,-0.81,9.44,0.263,15.69,0.375
2014,1,VMI,741,,2-12,2.64,9.07,0.801,0.442,29.5,0.609,0.256,,8.86,11.5,12.43,-6.21,6.21,0.215,18.29,0.143
2014,1,Virginia,746,,10-6,7.69,9.56,0.851,0.472,37.75,0.551,0.526,,20.31,9.88,11.13,1.5,12.63,0.308,12.06,0.625
2014,1,Wagner,748,,2-11,3.38,10.23,0.804,0.414,27.92,0.627,0.141,,10.31,12.31,12.38,-5.46,6.92,0.233,18.23,0.154
2014,1,Brown,80,,8-6,5.93,6.64,0.86,0.509,30.5,0.593,0.302,,16.07,13.0,10.64,-0.5,10.14,0.287,16.64,0.571
2014,1,Bryant,81,,16-5,6.05,5.24,0.86,0.678,34.1,0.77,0.422,,16.33,11.43,7.9,2.38,10.29,0.289,16.38,0.762
2014,1,Yale,813,,9-5,6.57,7.29,0.87,0.579,29.5,0.698,0.368,,17.07,9.0,8.57,1.93,10.5,0.284,15.21,0.643
2014,1,Bucknell,83,,7-8,4.6,9.47,0.882,0.342,27.07,0.642,0.405,,13.4,10.87,8.67,0.13,8.8,0.229,12.47,0.467
2014,2,Catawba,1001,,7-8,,,,,30.13,,,,,13.0,,,,,16.67,
2014,2,Coker,1023,,6-8,7.43,,,,,,,,19.07,14.0,,,11.64,0.339,15.36,
2014,2,Colorado Mesa,11416,,9-3,6.58,11.25,,,31.25,0.792,0.409,,18.25,11.92,7.83,3.83,11.67,0.287,16.92,0.75
2014,2,Lenoir-Rhyne,1170,,10-4,9.14,,0.898,,30.86,,0.383,,24.29,,8.07,7.07,15.14,0.384,13.0,0.714
2014,2,Limestone,1174,,19-1,7.8,9.0,0.904,0.649,40.85,0.765,0.429,,22.6,,6.45,8.35,14.8,0.37,15.95,0.95
2014,2,Mars Hill,1199,,7-8,7.07,,0.898,,31.07,,,,19.0,12.73,,,11.93,0.367,14.8,
2014,2,Mount Olive,1245,,13-3,9.19,8.0,0.892,,30.13,0.829,0.529,,23.19,12.75,7.63,6.38,14.0,0.363,15.56,0.813
