academic_year,division,conference,conference_strength,team_count,conference_rank
2020,2,CACC,0.47808515216913766,7,7
2020,2,Conference Carolinas,0.5205900860481382,8,5
2020,2,ECC,0.514064311937116,7,6
2020,2,G-MAC,0.45992027911348043,6,9
2020,2,GLVC,0.5276592899732493,10,2
2020,2,NE10,0.5273217933565347,11,3
2020,2,RMAC,0.4624949513842814,4,8
2020,2,SAC,0.549536047957773,9,1
2020,2,Sunshine State,0.5253397328648094,8,4
2021,1,ACC,0.6767104957065653,5,1
2021,1,America East,0.46185285602263204,8,7
2021,1,Big East,0.48626262394398645,6,4
2021,1,Big Ten,0.49949108416621707,6,3
2021,1,CAA,0.5036910438806195,6,2
2021,1,DI Independent,0.4258513000261033,3,10
2021,1,MAAC,0.4657613900360757,7,6
2021,1,NEC,0.44326764290981796,7,8
2021,1,Patriot,0.46966185471386157,9,5
2021,1,SoCon,0.42741790593442314,7,9
2021,2,CACC,0.4480820099769511,7,10
2021,2,Conference Carolinas,0.4646432068052828,7,6
2021,2,ECC,0.4679893348201112,4,5
2021,2,G-MAC,0.45827826508579744,7,8
2021,2,GLVC,0.4697263610075587,7,4
2021,2,NE10,0.47937911329068084,11,3
2021,2,Peach Belt,0.46289652372841283,4,7
2021,2,RMAC,0.454440232087224,4,9
2021,2,SAC,0.5123899451188383,11,1
2021,2,Sunshine State,0.4942685634723971,7,2
2022,1,ACC,0.5746736979118436,5,2
2022,1,ASUN,0.4338037735588213,6,9
2022,1,America East,0.40318650666908024,7,11
2022,1,Big East,0.501879963507828,6,5
2022,1,Big Ten,0.5735347092571,6,3
2022,1,CAA,0.5020135551426531,6,4
2022,1,Ivy League,0.6055150920743794,7,1
2022,1,MAAC,0.41826198602831904,7,10
2022,1,NEC,0.45000238025967476,7,7
2022,1,Patriot,0.486210529716733,9,6
2022,1,SoCon,0.44371889266425385,6,8
2022,2,CACC,0.4545382656808302,7,6
2022,2,Conference Carolinas,0.45387409464487144,7,7
2022,2,ECC,0.42257424695269635,6,8
2022,2,G-MAC,0.41067232328650494,7,9
2022,2,GLVC,0.5538881198156896,7,2
2022,2,NE10,0.5153912326887263,11,4
2022,2,Peach Belt,0.3987507574768611,6,10
2022,2,RMAC,0.4806662907770788,4,5
2022,2,SAC,0.520492926677067,11,3
2022,2,Sunshine State,0.5596979240828877,8,1
2023,1,ACC,0.6562183441247262,5,1
2023,1,ASUN,0.5189178926703005,8,4
2023,1,America East,0.46773186742183126,7,7
2023,1,Atlantic 10,0.4865363735234733,6,6
2023,1,Big East,0.5102715427178937,6,5
2023,1,Big Ten,0.5865392264611712,6,2
2023,1,CAA,0.4501950248063707,8,9
2023,1,Ivy League,0.5395109594173221,7,3
2023,1,MAAC,0.4245584819591401,10,10
2023,1,Patriot,0.46640447619352127,9,8
2023,2,CACC,0.42008803460780586,8,10
2023,2,Conference Carolinas,0.4206692702999498,7,9
2023,2,ECC,0.5103434657236039,6,5
2023,2,G-MAC,0.4492076321947044,8,8
2023,2,GLVC,0.559823411992375,6,1
2023,2,NE10,0.5291950594928988,11,4
2023,2,Peach Belt,0.46216556022217614,6,6
2023,2,RMAC,0.45103759882003547,4,7
2023,2,SAC,0.540156236823693,10,3
2023,2,Sunshine State,0.5495264650450747,8,2
2024,1,ACC,0.6549075744388887,5,1
2024,1,ASUN,0.4893488233780715,8,6
2024,1,America East,0.4521387919251427,8,8
2024,1,Atlantic 10,0.47257945178230165,6,7
2024,1,Big East,0.5319041648996398,6,4
2024,1,Big Ten,0.5844481412288135,6,2
2024,1,CAA,0.4444221402316628,8,10
2024,1,Ivy League,0.5393913438325767,7,3
2024,1,MAAC,0.4491257860424375,10,9
2024,1,Patriot,0.49878739467863326,9,5
2024,2,CACC,0.4490893830478304,9,10
2024,2,Conference Carolinas,0.44978208852581625,8,9
2024,2,ECC,0.47035461587268695,7,7
2024,2,G-MAC,0.48424759389872646,8,6
2024,2,GLVC,0.5816029354520446,7,1
2024,2,NE10,0.5427081953720629,10,3
2024,2,Peach Belt,0.5244665339760708,5,5
2024,2,RMAC,0.4525830750814886,5,8
2024,2,SAC,0.5269591068058572,10,4
2024,2,Sunshine State,0.5663011519256722,8,2
